"Issue Type","Test Type","Cucumber Test Type","Summary","Cucumber Scenario","Labels","Priority","Description"
"Test","Automated[Cucumber]","Scenario","A report just under €500 needs only the manager's approval","Scenario: A report just under €500 needs only the manager's approval
Given the ExpenseFlow SUT is reset to its seed state
And the roles ""manager"" < ""finance"" < ""director"" form a fixed approval hierarchy
Given a submitted report ""R"" by ""employee@demo"" totalling exactly 499.99 EUR
Then report ""R"" awaits approval from ""manager"" only","QAIA-US-004-008 P1 boundary","Highest","condition: AC2-C1 — priority P1"
"Test","Automated[Cucumber]","Scenario","A report of exactly €500.00 needs manager then finance","Scenario: A report of exactly €500.00 needs manager then finance
Given the ExpenseFlow SUT is reset to its seed state
And the roles ""manager"" < ""finance"" < ""director"" form a fixed approval hierarchy
Given a submitted report ""R"" by ""employee@demo"" totalling exactly 500.00 EUR
When ""manager@demo"" approves report ""R""
Then report ""R"" still awaits approval from ""finance""","QAIA-US-004-009 P1 boundary","Highest","condition: AC2-C2 — priority P1 — open: Q1 (exact-€500 boundary — read as inclusive in band B: manager then finance) [low confidence (Q1)]"
"Test","Automated[Cucumber]","Scenario","A report of exactly €5000.00 still needs only manager then finance","Scenario: A report of exactly €5000.00 still needs only manager then finance
Given the ExpenseFlow SUT is reset to its seed state
And the roles ""manager"" < ""finance"" < ""director"" form a fixed approval hierarchy
Given a submitted report ""R"" by ""employee@demo"" totalling exactly 5000.00 EUR
When ""manager@demo"" approves report ""R"" and ""finance@demo"" approves report ""R""
Then report ""R"" status is ""approved""","QAIA-US-004-010 P1 boundary","Highest","condition: AC2-C3 — priority P1 — open: Q1 (exact-€5000 boundary — read as inclusive in band B: manager then finance, no director) [low confidence (Q1)]"
"Test","Automated[Cucumber]","Scenario","A report just above €5000 needs manager, finance, then director","Scenario: A report just above €5000 needs manager, finance, then director
Given the ExpenseFlow SUT is reset to its seed state
And the roles ""manager"" < ""finance"" < ""director"" form a fixed approval hierarchy
Given a submitted report ""R"" by ""employee@demo"" totalling exactly 5000.01 EUR
When ""manager@demo"" approves report ""R"" and ""finance@demo"" approves report ""R"" and ""director@demo"" approves report ""R""
Then report ""R"" status is ""approved""","QAIA-US-004-011 P1 boundary","Highest","condition: AC2-C4 — priority P1"
"Test","Automated[Cucumber]","Scenario","An approver acting out of chain order is refused","Scenario: An approver acting out of chain order is refused
Given the ExpenseFlow SUT is reset to its seed state
And the roles ""manager"" < ""finance"" < ""director"" form a fixed approval hierarchy
Given a submitted report ""R"" by ""employee@demo"" totalling exactly 5000.01 EUR
When ""finance@demo"" attempts to approve report ""R"" before the manager has
Then the attempt is refused","QAIA-US-004-012 P1 decision-table","Highest","condition: AC2-C5 [req-neg] — Q10: the AC states refusal, not a status; the status observed on the SUT is not asserted — priority P1"
"Test","Automated[Cucumber]","Scenario","An approver cannot decide on their own report","Scenario: An approver cannot decide on their own report
Given the ExpenseFlow SUT is reset to its seed state
And the roles ""manager"" < ""finance"" < ""director"" form a fixed approval hierarchy
Given a submitted report ""R"" by ""manager@demo"" totalling exactly 499.99 EUR
When ""manager@demo"" attempts to approve report ""R""
Then the attempt is refused","QAIA-US-004-013 P1 decision-table","Highest","condition: AC3-C1 [req-neg] — Q10: the AC states refusal, not a status; the status observed on the SUT is not asserted — priority P1"
"Test","Automated[Cucumber]","Scenario","A manager's own small report escalates directly to finance","Scenario: A manager's own small report escalates directly to finance
Given the ExpenseFlow SUT is reset to its seed state
And the roles ""manager"" < ""finance"" < ""director"" form a fixed approval hierarchy
Given a submitted report ""R"" by ""manager@demo"" totalling exactly 100.00 EUR
Then report ""R"" awaits approval from ""finance"" only","QAIA-US-004-014 P1 decision-table","Highest","condition: AC3-C2 — priority P1 — open: Q2 (a manager's own <€500 report escalates straight to finance rather than being left with zero required approvers) [low confidence (Q2)]"
"Test","Automated[Cucumber]","Scenario","A manager's own large report skips the manager step but keeps finance and director","Scenario: A manager's own large report skips the manager step but keeps finance and director
Given the ExpenseFlow SUT is reset to its seed state
And the roles ""manager"" < ""finance"" < ""director"" form a fixed approval hierarchy
Given a submitted report ""R"" by ""manager@demo"" totalling exactly 5000.01 EUR
When ""finance@demo"" approves report ""R""
Then report ""R"" awaits approval from ""director"" only","QAIA-US-004-015 P1 decision-table","Highest","condition: AC3-C3 — priority P1 — open: Q2 (a manager's own >€5000 report drops the manager step; finance and director remain, in that order) [low confidence (Q2)]"
"Test","Automated[Cucumber]","Scenario","A finance user's own large report escalates the finance step to director","Scenario: A finance user's own large report escalates the finance step to director
Given the ExpenseFlow SUT is reset to its seed state
And the roles ""manager"" < ""finance"" < ""director"" form a fixed approval hierarchy
Given a submitted report ""R"" by ""finance@demo"" totalling exactly 5000.01 EUR
When ""manager@demo"" approves report ""R""
Then report ""R"" awaits approval from ""director"" only","QAIA-US-004-016 P1 decision-table","Highest","condition: AC3-C4 — priority P1 — open: Q8 (the self-approval-skip rule generalizes beyond the manager example: finance submitting a report requiring finance's own sign-off escalates to director) [low confidence (Q8)]"
"Test","Automated[Cucumber]","Scenario","A non-EUR report's converted total drives the approval band","Scenario: A non-EUR report's converted total drives the approval band
Given the ExpenseFlow SUT is reset to its seed state
And the roles ""manager"" < ""finance"" < ""director"" form a fixed approval hierarchy
Given ""employee@demo"" has a draft report in ""USD"" with one line ""hotel"" of 543.00 dated 2026-07-21, receipt attached
When ""employee@demo"" submits the report
Then the report's converted total is approximately 500.10 EUR
And the report awaits approval from ""manager"" and ""finance""","QAIA-US-004-024 P1 ep","Highest","condition: AC6-C1 — priority P1"
